FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.0003946329913180742,0.999998927116394
0.0,0.0007892659826361484,0.9999988079071045
0.0,0.001973164956590371,0.9999986886978149
0.0,0.0023677979479084454,0.9999985694885254
0.0,0.0055248618784530384,0.9999979734420776
0.0,0.005919494869771113,0.9999977350234985
0.0,0.007103393843725336,0.999997615814209
0.0,0.008287292817679558,0.9999970197677612
0.0,0.009076558800315706,0.9999969005584717
0.0,0.010655090765588003,0.9999967813491821
0.0,0.011444356748224152,0.9999964237213135
0.0,0.012628255722178374,0.9999963045120239
0.0,0.01578531965272297,0.9999953508377075
0.0,0.016574585635359115,0.999995231628418
0.0,0.017363851617995266,0.9999948740005493
0.0,0.018942383583267563,0.9999946355819702
0.0,0.020915548539857932,0.9999934434890747
0.0,0.022099447513812154,0.9999933242797852
0.0,0.022888713496448304,0.9999929666519165
0.0,0.023283346487766376,0.9999926090240479
0.0,0.024072612470402526,0.9999924898147583
0.0,0.02722967640094712,0.9999908208847046
0.0,0.028018942383583267,0.9999904632568359
0.0,0.02920284135753749,0.9999899864196777
0.0,0.02999210734017364,0.9999898672103882
0.0,0.031176006314127862,0.9999890327453613
0.0,0.03235990528808208,0.9999887943267822
0.0,0.03393843725335438,0.9999877214431763
0.0,0.03472770323599053,0.9999868869781494
0.0,0.0367008681925809,0.9999861717224121
0.0,0.03749013417521705,0.9999860525131226
0.0,0.037884767166535126,0.999985933303833
0.0,0.03867403314917127,0.9999858140945435
0.0,0.04104183109707971,0.9999831914901733
0.0,0.041831097079715863,0.9999830722808838
0.0,0.05130228887134965,0.9999717473983765
0.0,0.05209155485398579,0.9999711513519287
0.0,0.053275453827940016,0.9999685287475586
0.0,0.054064719810576166,0.9999675750732422
0.0,0.05919494869771113,0.99996018409729
0.0,0.05998421468034728,0.9999597072601318
0.0,0.06077348066298342,0.9999591112136841
0.0,0.06156274664561957,0.9999587535858154
0.0,0.06550907655880031,0.9999526739120483
0.0,0.06629834254143646,0.9999523162841797
0.0,0.06708760852407261,0.9999507665634155
0.0,0.06787687450670876,0.99994957447052
0.0,0.06866614048934491,0.9999487400054932
0.0,0.06945540647198106,0.9999485015869141
0.0,0.07063930544593527,0.9999464750289917
0.0,0.07142857142857142,0.9999442100524902
0.0,0.07458563535911603,0.9999394416809082
0.0,0.07537490134175218,0.9999383687973022
0.0,0.07813733228097869,0.9999345541000366
0.0,0.07892659826361484,0.999934196472168
0.0,0.08326756116811365,0.999921441078186
0.0,0.0840568271507498,0.9999209642410278
0.0,0.0856353591160221,0.9999185800552368
0.0,0.08721389108129439,0.9999171495437622
0.0,0.0931333859510655,0.9999111890792847
0.0,0.09431728492501973,0.9999110698699951
0.0,0.10023677979479084,0.9999063014984131
0.0,0.10181531176006314,0.999906063079834
0.0,0.10418310970797158,0.9999027252197266
0.0,0.10497237569060773,0.9999021291732788
0.0,0.10576164167324388,0.9999016523361206
0.0,0.10655090765588003,0.9999011754989624
0.0,0.10812943962115233,0.9998980760574341
0.0,0.10891870560378848,0.9998974800109863
0.0,0.11207576953433307,0.999890923500061
0.0,0.11286503551696922,0.9998902082443237
0.0,0.1148382004735596,0.9998884201049805
0.0,0.11602209944751381,0.9998883008956909
0.0,0.11681136543014996,0.9998880624771118
0.0,0.11760063141278611,0.9998873472213745
0.0,0.11917916337805841,0.9998838901519775
0.0,0.11996842936069456,0.9998830556869507
0.0,0.12430939226519337,0.9998767375946045
0.0,0.1250986582478295,0.9998766183853149
0.0,0.1254932912391476,0.9998762607574463
0.0,0.12628255722178375,0.9998760223388672
0.0,0.12746645619573796,0.999874472618103
0.0,0.1282557221783741,0.9998742341995239
0.0,0.12904498816101026,0.9998738765716553
0.0,0.1298342541436464,0.999873161315918
0.0,0.13180741910023677,0.9998701810836792
0.0,0.13338595106550907,0.9998699426651001
0.0,0.13496448303078137,0.9998669624328613
0.0,0.13575374901341752,0.9998660087585449
0.0,0.1420678768745067,0.9998570680618286
0.0,0.14285714285714285,0.9998568296432495
0.0,0.14719810576164166,0.9998526573181152
0.0,0.1479873717442778,0.9998519420623779
0.0,0.15035516969218626,0.9998480081558228
0.0,0.1511444356748224,0.9998472929000854
0.0,0.1515390686661405,0.9998471736907959
0.0,0.15311760063141278,0.9998458623886108
0.0,0.15509076558800317,0.999841570854187
0.0,0.15588003157063932,0.9998406171798706
