y_actual,y_pred,y_prob,top_3_features
0,1,0.054351456,"['Status_Scores', 'Current_World_Pay_Token', 'Total_Net_Paid']"
0,0,0.00094407477,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.012745567,"['Status_Scores', 'Renewal_Score_At_Release', 'Total_Net_Paid']"
0,0,0.0032900213,"['Total_Net_Paid', 'Tenure_Years', 'Status_Scores']"
0,0,0.0007412911,"['Status_Scores', 'Total_Net_Paid', 'Customer_Response_Risk_Low Risk']"
0,0,0.0006577066,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0021808376,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,1,0.99765104,"['Total_Net_Paid', 'Status_Scores', 'stage_high_risk_flag']"
0,1,0.6382492,"['Status_Scores', 'Total_Net_Paid', 'Band_Band B']"
0,1,0.58971727,"['Status_Scores', 'Payment_Timeframe', 'Current_World_Pay_Token']"
0,0,0.0039685606,"['Status_Scores', 'Payment_Timeframe', 'Connection_Group_4-9']"
1,1,0.99969447,"['Total_Net_Paid', 'Status_Scores', 'Band_Band B']"
0,1,0.12935692,"['Status_Scores', 'Payment_Timeframe', 'Renewal_Score_At_Release']"
0,0,0.00022093051,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.013824491,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
0,1,0.93378365,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
0,0,0.003911742,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,1,0.5898403,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,1,0.22933379,"['Renewal_Score_At_Release', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.014445096,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,1,0.06530157,"['Tenure_Years', 'Total_Net_Paid', 'Status_Scores']"
0,0,0.0033429435,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
1,1,0.7846399,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,1,0.071895145,"['Discount_Amount', 'Tenure_Years', 'Status_Scores']"
0,0,0.0063929204,"['Status_Scores', 'Customer_Response_Risk_Low Risk', 'Current_World_Pay_Token']"
0,0,0.012791717,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
