Co_Ref,Renewal_Month,Discount_Amount,Sustainability_Score,Total_Renewal_Score_New,Last_Years_Price,Auto_Renewal_Score,Status_Scores,Anchoring_Score,Tenure_Scores,Proforma_Auto_Renewal,Proforma_World_Pay_Token,Proforma_Date,Current_Anchorings,Current_Anchor_List,Payment_Timeframe,Registration_Date,Proforma_Account_Stage,Proforma_Audit_Status,Current_Auto_Renewal_Flag,Current_World_Pay_Token,Renewal_Score_At_Release,Proforma_Membership_Status,Proforma_Approved_Lists,Tenure_Years,Band,Prospect_Renewal_Date,Closed_Date,Prospect_Status,Starting_Net,Starting_Vat,Starting_Gross,Starting_Membership_Net,Starting_Package_Net,Starting_PQQ_Net,Gross,Membership_Net,Package_Net,PQQNet,Total_Net_Paid,Prospect_Outcome,Payment_Method,Amount,Total_Amount,Connection_Group,Tenure_Group,#_of_Connection,Last_Renewal,Last_Band,Last_Total_Net_Paid,Last_Connections,Anchor_Group,Renewal_Year,DateTime_Out
FL6837,01-05-2026,0,9.5,43.0,1099.0,8,9,8.5,8.0,True,False,09-03-2026,1,Winvic Construction Limited (Sub-Contractors),,03-05-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band C2,03-05-2026,,Invoiced,1099,219.8,1318.8,964,0,135,1318.8,964.0,0.0,135,,Open,UNKNOWN,1099,1099.0,1,2,1.0,01-05-2025,Band C2,949.0,1.0,1,2026,01-05-2026
HG6294,01-05-2026,0,9.5,44.0,1349.0,8,8,9.0,9.5,True,False,10-03-2026,2,"William Jackson Food Group, BMW (UK) Manufacturing Ltd",,04-05-2007,Published,Accredited,y,n,27.5,Accredited,2.0,19.0,Band D,04-05-2026,,Invoiced,1349,269.8,1618.8,1214,0,135,1618.8,1214.0,0.0,135,,Open,UNKNOWN,1349,1349.0,2,4+,2.0,01-05-2025,Band D,1159.0,3.0,2,2026,01-05-2026
TJ2968,01-04-2026,0,9.5,45.5,1139.0,8,9,9.5,9.5,True,False,11-02-2026,4,"CBRE, Mitie, Rendall & Rittner, BGIS",,21-04-2011,Published,Accredited,y,n,28.0,Accredited,4.0,15.0,Band C1,21-04-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,4-9,4+,4.0,01-04-2025,Band C1,919.0,4.0,4-9,2026,01-04-2026
SS4827,01-03-2026,0,8.0,43.5,1579.0,8,9,9.0,9.5,True,False,09-01-2026,2,"Edward Billington & Sons, ForFarmers",,19-03-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band E,19-03-2026,,Invoiced,1349,269.8,1618.8,1214,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1349,1579.0,2,4+,2.0,01-03-2025,Band D,1159.0,6.0,2,2026,01-03-2026
LE8497,01-05-2026,0,9.5,45.0,1754.0,8,9,9.0,9.5,False,False,10-03-2026,2,"Rendall & Rittner, Knight Frank LLP",,22-05-2008,Published,Accredited,y,n,27.5,Accredited,2.0,18.0,Band E,22-05-2026,,Invoiced,1754,350.8,2104.8,1444,175,135,2104.8,1444.0,175.0,135,,Open,UNKNOWN,1754,1754.0,2,4+,2.0,01-05-2025,Band E,1226.2,6.0,2,2026,01-05-2026
RT6391,01-04-2026,0,8.0,44.0,999.0,8,9,9.5,9.5,True,False,11-02-2026,5,"Jaguar Building Services Ltd, JFM Block & Estate Management, Bizspace Ltd, FIFM, Premier Technical Services Group Ltd",,06-04-2011,Published,Accredited,y,n,28.0,Accredited,4.0,15.0,Band C1,07-04-2026,,Invoiced,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,4-9,4+,4.0,01-04-2025,Band C1,799.0,3.0,4-9,2026,01-04-2026
WE2750,01-04-2026,0,9.5,45.0,1719.0,8,9,9.0,9.5,True,False,11-02-2026,2,"Next Retail Ltd, GKN Aerospace Services Limited",,22-04-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band E,22-04-2026,,Invoiced,1719,343.8,2062.8,1444,140,135,2062.8,1444.0,140.0,135,,Open,UNKNOWN,1719,1719.0,2,4+,2.0,01-04-2025,Band E,1469.0,2.0,2,2026,01-04-2026
GX1260,01-03-2026,0,8.0,41.5,1099.0,8,9,8.5,8.0,True,False,06-01-2026,1,CBRE,,22-03-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band C2,22-03-2026,,Invoiced,1099,219.8,1318.8,964,0,135,1318.8,964.0,0.0,135,,Open,UNKNOWN,1099,1099.0,1,2,1.0,01-03-2025,Band C2,949.0,1.0,1,2026,01-03-2026
PO9952,01-05-2026,0,8.0,43.5,1489.0,8,9,9.0,9.5,True,False,10-03-2026,2,"The Co-operative, Notting Hill Genesis",,21-05-2013,Published,Accredited,y,n,27.5,Accredited,2.0,13.0,Band D,21-05-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,2,4+,2.0,01-05-2025,Band D,1279.0,2.0,2,2026,01-05-2026
KW3907,01-03-2026,0,9.5,44.5,999.0,8,9,8.5,9.5,True,False,09-01-2026,1,British Gypsum,,23-03-2015,Published,Accredited,y,n,27.0,Accredited,1.0,11.0,Band C1,23-03-2026,,Invoiced,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-03-2025,Band C1,799.0,1.0,1,2026,01-03-2026
EB6366,01-04-2026,0,9.0,42.0,1489.0,8,9,8.5,7.5,True,False,10-02-2026,1,Lambert Smith Hampton Residential,,16-04-2025,Published,Accredited,y,n,24.5,Accredited,1.0,1.0,Band D,16-04-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,1,1.0,,,,,1,2026,01-04-2026
BT0489,01-03-2026,0,9.0,43.0,1349.0,8,9,8.5,8.5,True,False,07-01-2026,1,CBRE,,08-03-2022,Published,Accredited,y,n,26.5,Accredited,1.0,4.0,Band D,08-03-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1618.8,1214.0,0.0,135,,Open,UNKNOWN,1489,1349.0,1,4+,1.0,01-03-2025,Band D,1279.0,1.0,1,2026,01-03-2026
UK4840,01-04-2026,0,9.5,45.0,1719.0,8,9,9.0,9.5,True,False,11-02-2026,2,"Baxter Healthcare Ltd, Circle Health Group",,06-06-2018,Published,Accredited,y,n,27.5,Accredited,2.0,8.0,Band E,09-04-2026,,Invoiced,1719,343.8,2062.8,1444,140,135,2062.8,1444.0,140.0,135,,Open,UNKNOWN,1719,1719.0,2,4+,2.0,01-04-2025,Band E,1469.0,2.0,2,2026,01-04-2026
CD8930,01-05-2026,0,8.0,41.5,1489.0,8,9,8.5,8.0,True,False,06-03-2026,1,CBRE,,07-05-2024,Published,Accredited,y,n,26.0,Accredited,1.0,2.0,Band D,07-05-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,2,1.0,01-05-2025,Band D,1279.0,1.0,1,2026,01-05-2026
CP1011,01-04-2026,0,9.5,44.5,1139.0,8,9,9.0,9.0,True,False,11-02-2026,2,"PHP Property Management Services Ltd, Carter Jonas LLP",,,Published,Accredited,y,n,25.0,Accredited,2.0,,Band C1,21-04-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,2,,2.0,01-04-2025,Band C2,1069.0,4.0,2,2026,01-04-2026
MS0488,01-05-2026,10.00%,9.5,45.5,1038.6,8,9,9.5,9.5,True,False,09-03-2026,6,"CBRE, Serco Group Plc, OUTCO Limited, Norse Group Limited, Heron Foods Limited, Principle Systems",,24-05-2017,Published,Accredited,y,n,28.0,Accredited,7.0,9.0,Band C1,24-05-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1246.32,777.6,126.0,135,,Open,UNKNOWN,1139,1038.6,4-9,4+,7.0,01-05-2025,Band C1,919.0,5.0,4-9,2026,01-05-2026
XO7261,01-03-2026,20.00%,9.0,42.0,938.2,8,9,8.5,7.5,True,True,06-01-2026,1,British Sugar,,06-03-2025,Published,Accredited,n,n,24.5,Accredited,1.0,1.0,Band C1,06-03-2026,,Invoiced,1139,227.8,1366.8,864,140,135,1125.84,691.2,112.0,135,,Open,UNKNOWN,1139,938.2,1,1,1.0,,,,,1,2026,01-03-2026
SV3622,01-03-2026,0,8.0,41.0,1579.0,8,7,8.5,9.5,True,False,09-01-2026,1,Procter & Gamble Product Supply UK Ltd,,23-03-2018,Membership Only,Failed- Renewal Questionnaire not received,y,n,24.0,Member Only,1.0,8.0,Band E,23-03-2026,,Invoiced,1579,315.8,1894.8,1444,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1579,1579.0,1,4+,1.0,01-03-2025,Band E,1349.0,2.0,1,2026,01-03-2026
GN7305,01-04-2026,20.00%,9.5,44.0,1290.2,8,9,9.0,8.5,True,False,10-02-2026,2,"CBRE, Nestle UK Ltd",,01-04-2022,Renewal Process,Renewal Questionnaire Sent,y,n,27.0,Accredited,2.0,4.0,Band E,01-04-2026,,Invoiced,1579,315.8,1894.8,1444,0,135,1548.24,1155.2,0.0,135,,Open,UNKNOWN,1579,1290.2,2,4+,2.0,01-04-2025,Band E,1349.0,3.0,2,2026,01-04-2026
AY2983,01-04-2026,0,8.0,41.0,1489.0,8,9,8.5,7.5,True,True,10-02-2026,1,CBRE,,03-04-2025,Renewal Process,Renewal Questionnaire Sent,n,n,24.5,Accredited,1.0,1.0,Band D,03-04-2026,,Invoiced,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,1,1.0,,,,,1,2026,01-04-2026
BG0134,01-03-2026,0,9.5,43.5,639.0,8,9,9.5,7.5,True,True,06-01-2026,5,"Dalkia Ltd, Vital Energi Ltd, Savills UK Limited, Briggs & Forrester Engineering Services, Touchstone",,27-03-2025,Published,Accredited,n,n,25.5,Accredited,6.0,1.0,Band B,27-03-2026,,Invoiced,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,4-9,1,6.0,,,,,4-9,2026,01-03-2026
QU5079,01-03-2026,0,8.0,42.0,739.0,8,9,8.5,8.5,True,False,06-01-2026,1,CBRE,,27-03-2023,Published,Accredited,y,n,26.0,Accredited,1.0,3.0,Band B,27-03-2026,,Invoiced,739,147.8,886.8,540,100,99,886.8,540.0,100.0,99,,Open,UNKNOWN,739,739.0,1,3,1.0,,,,,1,2026,01-03-2026
OP1163,01-05-2026,0,8.0,43.0,2749.0,8,9,8.5,9.5,True,False,09-03-2026,1,The Bristol Port Company,,31-05-2019,Published,Accredited,y,n,27.0,Accredited,1.0,7.0,Band G,31-05-2026,,Invoiced,2749,549.8,3298.8,2549,0,200,3298.8,2549.0,0.0,200,,Open,UNKNOWN,2749,2749.0,1,4+,1.0,01-05-2025,Band G,2249.0,1.0,1,2026,01-05-2026
MT5955,01-04-2026,0,8.0,42.5,2939.0,8,9,9.0,8.5,True,False,11-02-2026,2,"CBRE, Digital Realty (UK) Limited",,06-04-2022,Published,Accredited,y,n,27.0,Accredited,2.0,4.0,Band G,06-04-2026,,Invoiced,2939,0.0,2939.0,2549,190,200,2939.0,2549.0,190.0,200,,Open,UNKNOWN,2939,2939.0,2,4+,2.0,01-04-2025,Band G,2409.0,1.0,2,2026,01-04-2026
YA6233,01-05-2026,0,9.5,43.5,2424.0,8,9,9.0,8.0,True,False,06-03-2026,2,"Mitie, British Gas",,09-05-2024,Published,Accredited,y,n,26.5,Accredited,2.0,2.0,Band F1,09-05-2026,,Invoiced,2424,484.8,2908.8,1999,225,200,2908.8,1999.0,225.0,200,,Open,UNKNOWN,2424,2424.0,2,2,2.0,01-05-2025,Band F1,2039.0,1.0,2,2026,01-05-2026
UQ1413,01-03-2026,0,8.0,42.0,639.0,8,8,8.5,9.5,True,False,07-01-2026,1,Housing21,,22-03-2017,Renewal Process,Renewal Questionnaire Received,y,n,27.0,Accredited,1.0,9.0,Band B,22-03-2026,,Invoiced,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,1,4+,1.0,01-03-2025,Band B,599.0,1.0,1,2026,01-03-2026
CP1459,01-04-2026,0,9.5,44.5,2199.0,8,9,9.0,9.0,True,False,11-02-2026,2,"Colliers International, Peel Group Companies",,,Published,Accredited,y,n,25.0,Accredited,2.0,,Band F1,04-04-2026,,Invoiced,2199,439.8,2638.8,1999,0,200,2638.8,1999.0,0.0,200,,Open,UNKNOWN,2199,2199.0,2,,2.0,01-04-2025,Band E,1349.0,2.0,2,2026,01-04-2026
WR3445,01-03-2026,0,8.0,42.0,2974.0,8,9,9.0,8.0,True,False,06-01-2026,2,"OCS Group UK Limited, SBFM Limited",,15-03-2024,Published,Accredited,y,n,26.5,Accredited,2.0,2.0,Band G,15-03-2026,,Invoiced,2974,594.8,3568.8,2549,225,200,3568.8,2549.0,225.0,200,,Open,UNKNOWN,2974,2974.0,2,2,2.0,01-03-2025,Band G,2439.0,2.0,2,2026,01-03-2026
PI7573,01-05-2026,0,8.0,41.0,639.0,8,7,8.5,9.5,True,False,10-03-2026,1,McCain Foods (GB) Ltd,,13-05-2013,Membership Only,Failed- Renewal Questionnaire not received,y,n,24.0,Member Only,1.0,13.0,Band B,13-05-2026,,Invoiced,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,1,4+,1.0,01-05-2025,Band B,599.0,1.0,1,2026,01-05-2026
UC3119,01-04-2026,0,9.0,42.5,2389.0,8,9,9.0,7.5,True,False,10-02-2026,2,"Winvic Construction Limited (Sub-Contractors), Bristol Airport",,22-04-2025,Published,Accredited,y,n,25.0,Accredited,2.0,1.0,Band F1,22-04-2026,,Invoiced,2389,477.8,2866.8,1999,190,200,2866.8,1999.0,190.0,200,,Open,UNKNOWN,2389,2389.0,2,1,2.0,,,,,2,2026,01-04-2026
UZ6832,01-03-2026,0,8.0,42.5,764.0,8,9,9.0,8.5,True,False,07-01-2026,2,"Mitie, OCS Group UK Limited",,10-03-2022,Published,Accredited,y,n,27.0,Accredited,2.0,4.0,Band B,10-03-2026,,Invoiced,764,152.8,916.8,540,125,99,916.8,540.0,125.0,99,,Open,UNKNOWN,764,764.0,2,4+,2.0,01-03-2025,Band B,704.0,2.0,2,2026,01-03-2026
NT4159,01-02-2026,0,9.5,44.0,,8,9,8.5,9.0,True,False,08-12-2025,1,KTL,,23-02-2021,Published,Accredited,y,n,26.5,Accredited,1.0,5.0,Group,23-02-2026,,Invoiced,5297,1059.4,6356.4,4907,0,390,6356.4,4907.0,0.0,390,,Open,UNKNOWN,5297,5297.0,1,4+,1.0,01-02-2025,Group,3280.3,2.0,1,2026,01-02-2026
YR3443,01-02-2026,0,9.5,45.0,,8,9,9.0,9.5,True,False,08-12-2025,2,"Vital Energi Ltd, CBRE",,15-02-2019,Published,Accredited,y,n,27.0,Accredited,1.0,7.0,Group,15-02-2026,,Invoiced,5297,1059.4,6356.4,4907,0,390,6356.4,4907.0,0.0,390,,Open,UNKNOWN,5297,5297.0,1,4+,1.0,01-02-2025,Group,4237.0,2.0,1,2026,01-02-2026
RT8417,01-03-2026,0,9.0,44.5,999.0,9,9,9.0,8.5,True,True,06-01-2026,2,"Mitie, Dalkia Ltd",,07-03-2023,Published,Accredited,y,y,26.0,Accredited,1.0,3.0,Band C1,07-03-2026,,Renewal Proforma Sent,1174,234.8,1408.8,864,175,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,1174,999.0,1,3,1.0,01-03-2025,Band C1,913.0,0.0,1,2026,01-03-2026
FA8957,01-03-2026,0,9.5,42.5,999.0,9,8,7.5,8.5,True,True,07-01-2026,0,,,25-03-2022,Renewal Process,Renewal Questionnaire Received,y,y,25.0,In Progress,1.0,4.0,Band C1,25-03-2026,,Attempted Contact,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-03-2025,Band C1,799.0,1.0,1,2026,01-03-2026
FB8827,01-03-2026,0,8.0,42.0,999.0,8,9,7.5,9.5,True,False,07-01-2026,0,,,31-03-2017,Renewal Process,Renewal Questionnaire Sent,y,n,27.0,Accredited,1.0,9.0,Band C1,31-03-2026,,Attempted Contact,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-03-2025,Band C1,799.0,1.0,1,2026,01-03-2026
SL4621,01-05-2026,0,9.0,43.5,1139.0,9,9,7.5,9.0,True,True,09-03-2026,0,,,31-05-2021,Renewal Process,Renewal Questionnaire Received,y,y,26.5,Accredited,1.0,5.0,Band C1,31-05-2026,,Renewal Proforma Sent,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,1,4+,1.0,01-05-2025,Band C1,799.0,1.0,1,2026,01-05-2026
LF6862,01-05-2026,0,8.0,43.0,999.0,9,9,7.5,9.5,True,True,10-03-2026,0,,,05-06-2008,Published,Accredited,y,y,27.0,Accredited,1.0,18.0,Band C1,20-05-2026,,Renewal Proforma Sent,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-05-2025,Band C1,799.0,1.0,1,2026,01-05-2026
DZ0893,01-05-2026,0,9.5,43.5,1174.0,9,9,7.5,8.5,True,True,06-03-2026,0,,,02-05-2023,Published,Accredited,y,y,26.0,Accredited,1.0,3.0,Band C1,02-05-2026,,Renewal Proforma Sent,1174,234.8,1408.8,864,175,135,1408.8,864.0,175.0,135,,Open,UNKNOWN,1174,1174.0,1,3,1.0,01-05-2025,Band C1,949.0,1.0,1,2026,01-05-2026
YL7725,01-05-2026,0,9.5,43.5,1139.0,9,9,7.5,8.5,True,True,09-03-2026,0,,,24-05-2023,Published,Accredited,y,y,26.0,Accredited,1.0,3.0,Band C1,24-05-2026,,Renewal Proforma Sent,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,1,3,1.0,01-05-2025,Band C1,919.0,1.0,1,2026,01-05-2026
JF2317,01-04-2026,0,9.0,42.5,1139.0,9,9,7.5,8.0,True,True,11-02-2026,0,,,04-03-2024,Published,Accredited,y,y,26.0,Accredited,1.0,2.0,Band C1,04-04-2026,,Attempted Contact,1139,227.8,1366.8,864,140,135,1366.8,864.0,140.0,135,,Open,UNKNOWN,1139,1139.0,1,2,1.0,01-04-2025,Band C1,919.0,1.0,1,2026,01-04-2026
NA1000,01-05-2026,0,8.0,41.0,999.0,9,7,7.5,9.5,True,True,10-03-2026,0,,,25-05-2006,Membership Only,Failed- Renewal Questionnaire not received,y,y,24.0,Member Only,1.0,20.0,Band C1,25-05-2026,,Renewal Proforma Sent,999,199.8,1198.8,864,0,135,1198.8,864.0,0.0,135,,Open,UNKNOWN,999,999.0,1,4+,1.0,01-05-2025,Band C1,799.0,1.0,1,2026,01-05-2026
IW2030,01-04-2026,0,9.5,42.5,1754.0,8,9,7.5,8.5,True,False,11-02-2026,0,,,14-04-2022,Published,Accredited,y,n,26.5,Accredited,1.0,4.0,Band E,14-04-2026,,Renewal Proforma Sent,1754,350.8,2104.8,1444,175,135,2104.8,1444.0,175.0,135,,Open,UNKNOWN,1754,1754.0,1,4+,1.0,01-04-2025,Band E,1499.0,1.0,1,2026,01-04-2026
WN5971,01-03-2026,0,8.0,41.0,1349.0,9,7,7.5,9.5,True,True,07-01-2026,0,,,13-03-2019,Membership Only,Failed- Initial additional info not received,y,y,24.0,Member Only,1.0,7.0,Band D,13-03-2026,,Contact Made,1349,0.0,1349.0,1214,0,135,1349.0,1214.0,0.0,135,,Open,UNKNOWN,1349,1349.0,1,4+,1.0,01-03-2025,Band D,1159.0,1.0,1,2026,01-03-2026
UV1890,01-03-2026,30.00%,8.0,42.0,809.8,8,9,7.5,9.5,False,False,07-01-2026,0,,,15-03-2016,Published,Accredited,y,n,27.0,Accredited,1.0,10.0,Band C2,15-03-2026,,Payment En Route,1099,219.8,1318.8,964,0,135,971.76,674.8,0.0,135,,Open,UNKNOWN,1099,809.8,1,4+,1.0,01-03-2025,Band C2,786.2,1.0,1,2026,01-03-2026
CZ4750,01-05-2026,0,9.5,42.0,1579.0,8,8,7.5,9.0,True,False,09-03-2026,0,,,22-05-2020,Renewal Process,Renewal report sent - Awaiting information,y,n,25.0,In Progress,1.0,6.0,Band E,22-05-2026,,Renewal Proforma Sent,1579,315.8,1894.8,1444,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1579,1579.0,1,4+,1.0,01-05-2025,Band E,1349.0,1.0,1,2026,01-05-2026
ZV0823,01-03-2026,0,8.0,42.0,1489.0,9,9,7.5,8.5,True,True,07-01-2026,0,,,31-03-2022,Published,Accredited,y,y,26.5,Accredited,1.0,4.0,Band D,31-03-2026,,Intention to Proceed,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,4+,1.0,01-03-2025,Band D,1279.0,1.0,1,2026,01-03-2026
HB5804,01-05-2026,0,8.0,39.5,1099.0,9,7,7.5,8.0,True,True,09-03-2026,0,,,13-05-2024,Membership Only,Failed- Initial Questionnaire not received,y,y,23.0,Member Only,1.0,2.0,Band C2,13-05-2026,,Renewal Proforma Sent,1099,219.8,1318.8,964,0,135,1318.8,964.0,0.0,135,,Open,UNKNOWN,1099,1099.0,1,2,1.0,01-05-2025,Band C2,949.0,1.0,1,2026,01-05-2026
RS3244,01-04-2026,0,9.5,44.0,1489.0,9,9,7.5,9.0,True,True,11-02-2026,0,,,16-04-2021,Published,Accredited,y,y,26.5,Accredited,1.0,5.0,Band D,16-04-2026,,Renewal Proforma Sent,1489,297.8,1786.8,1214,140,135,1786.8,1214.0,140.0,135,,Open,UNKNOWN,1489,1489.0,1,4+,1.0,01-04-2025,Band D,1279.0,1.0,1,2026,01-04-2026
AX5200,01-05-2026,0,8.0,41.5,1579.0,9,8,7.5,9.0,True,True,09-03-2026,0,,,28-05-2021,Membership Only,Failed- Renewal Additional Information Not Received,y,y,23.5,Member Only,1.0,5.0,Band E,28-05-2026,,Renewal Proforma Sent,1579,315.8,1894.8,1444,0,135,1894.8,1444.0,0.0,135,,Open,UNKNOWN,1579,1579.0,1,4+,1.0,01-05-2025,Band E,1349.0,1.0,1,2026,01-05-2026
PW9427,01-03-2026,0,8.0,40.5,1239.0,9,7,7.5,9.0,True,True,07-01-2026,0,,,30-03-2020,Suspended,SSiP Expired - 1st Reminder,y,y,23.5,Member Only,1.0,6.0,Band C2,30-03-2026,,Intention to Proceed,1239,247.8,1486.8,964,140,135,1486.8,964.0,140.0,135,,Open,UNKNOWN,1239,1239.0,1,4+,1.0,01-03-2025,Band C2,1069.0,1.0,1,2026,01-03-2026
AG3023,01-05-2026,0,8.0,39.5,1524.0,9,7,7.5,8.0,True,True,06-03-2026,0,,,31-05-2024,Membership Only,Failed- Renewal Questionnaire not received,y,y,23.0,Member Only,1.0,2.0,Band D,31-05-2026,,Renewal Proforma Sent,1524,304.8,1828.8,1214,175,135,1828.8,1214.0,175.0,135,,Open,UNKNOWN,1524,1524.0,1,2,1.0,01-05-2025,Band D,1309.0,1.0,1,2026,01-05-2026
QD0853,01-10-2025,30.00%,8.0,39.0,837.8,8,7,7.5,8.5,False,False,06-08-2025,0,,,20-10-2022,Membership Only,Failed- Renewal Questionnaire not received,y,n,23.0,Member Only,1.0,3.0,Band C1,20-10-2025,,Potential Lost Account,1139,227.8,1366.8,864,140,135,1005.36,604.8,98.0,135,,Open,UNKNOWN,1139,837.8,1,3,1.0,01-10-2024,Band C1,919.0,1.0,1,2025,01-10-2025
BC2618,01-03-2026,0,8.0,39.5,764.0,9,7,7.5,8.0,True,True,06-01-2026,0,,,19-03-2024,Membership Only,Failed- Initial Questionnaire not received,y,y,23.0,Member Only,1.0,2.0,Band B,19-03-2026,,Attempted Contact,764,152.8,916.8,540,125,99,916.8,540.0,125.0,99,,Open,UNKNOWN,764,764.0,1,2,1.0,01-03-2025,Band B,704.0,1.0,1,2026,01-03-2026
PT9199,01-12-2025,20.00%,8.0,39.0,355.0,8,7,7.5,8.5,False,False,08-10-2025,0,,,15-12-2021,Membership Only,Failed- Renewal Questionnaire not received,y,n,23.5,Member Only,1.0,4.0,Band A,15-12-2025,,Potential Lost Account,419,83.8,502.8,320,0,99,426.0,256.0,0.0,99,,Open,UNKNOWN,419,355.0,1,4+,1.0,01-12-2024,Band A,279.0,1.0,1,2025,01-12-2025
BY1213,01-01-2026,30.00%,9.0,42.0,,8,9,7.5,8.5,True,False,12-11-2025,0,,,31-01-2023,Published,Accredited,y,n,26.0,Accredited,1.0,3.0,Band B,31-01-2026,,Contact Made,764,152.8,916.8,540,125,99,677.4,378.0,87.5,99,,Open,UNKNOWN,764,564.5,1,3,1.0,01-01-2025,Band B,704.0,1.0,1,2026,01-01-2026
IJ0190,01-02-2026,0,9.0,41.0,,9,7,7.5,8.5,True,True,05-12-2025,0,,,28-02-2023,Vetting,Final Reminder (Initial) Additional Information Not Sent,y,y,24.5,In Progress,1.0,3.0,Band B,28-02-2026,,Contact Made Deciding,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,1,3,1.0,01-02-2025,Band B,599.0,1.0,1,2026,01-02-2026
MV6824,01-03-2026,0,8.0,41.0,419.0,9,8,7.5,8.5,True,True,07-01-2026,0,,,31-03-2022,Vetting,Initial Questionnaire Received,y,y,25.0,In Progress,1.0,4.0,Band A,31-03-2026,,Attempted Contact,419,83.8,502.8,320,0,99,502.8,320.0,0.0,99,,Open,UNKNOWN,419,419.0,1,4+,1.0,01-03-2025,Band A,399.0,1.0,1,2026,01-03-2026
NF7150,01-03-2026,0,8.0,40.0,639.0,9,7,7.5,8.5,True,True,07-01-2026,0,,,22-03-2022,Membership Only,Failed- Renewal Questionnaire not received,y,y,23.5,Member Only,1.0,4.0,Band B,22-03-2026,,Contact Made,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,1,4+,1.0,01-03-2025,Band B,599.0,1.0,1,2026,01-03-2026
WC6154,01-05-2026,0,8.0,40.5,419.0,9,7,7.5,9.0,True,True,09-03-2026,0,,,17-05-2021,Membership Only,Failed- Renewal Questionnaire not received,y,y,23.5,Member Only,1.0,5.0,Band A,17-05-2026,,Renewal Proforma Sent,419,83.8,502.8,320,0,99,502.8,320.0,0.0,99,,Open,UNKNOWN,419,419.0,1,4+,1.0,01-05-2025,Band A,399.0,1.0,1,2026,01-05-2026
BE7770,01-03-2026,0,9.0,42.0,639.0,9,7,7.5,9.5,True,True,07-01-2026,0,,,19-03-2019,Membership Only,Failed- Renewal Additional Information Not Received,y,y,24.0,Member Only,1.0,7.0,Band B,19-03-2026,,Intention to Proceed,639,127.8,766.8,540,0,99,766.8,540.0,0.0,99,,Open,UNKNOWN,639,639.0,1,4+,1.0,01-03-2025,Band B,599.0,1.0,1,2026,01-03-2026
CP3099,01-10-2025,30.00%,8.0,33.0,477.0,8,0,7.5,9.5,True,False,08-08-2025,0,,,19-10-2017,Membership Only,Failed- Renewal Additional Information Not Received,y,n,24.0,Member Only,1.0,8.0,Band B,19-10-2025,,Contact Made,999,199.8,1198.8,864,0,135,572.4,378.0,0.0,99,,Open,UNKNOWN,999,477.0,1,4+,1.0,01-10-2024,Band C1,799.0,1.0,1,2025,01-10-2025
